Timestamp,Elapsed_Time_s,Target_Percent,Actual_RPM
2025-10-03 08:38:38.211,0.060,50,0.00
2025-10-03 08:38:38.271,0.120,50,0.00
2025-10-03 08:38:38.311,0.160,50,0.00
2025-10-03 08:38:38.363,0.212,50,0.00
2025-10-03 08:38:38.415,0.263,50,0.00
2025-10-03 08:38:38.466,0.315,50,0.00
2025-10-03 08:38:38.519,0.368,50,0.00
2025-10-03 08:38:38.570,0.419,50,69.44
2025-10-03 08:38:38.623,0.471,50,114.11
2025-10-03 08:38:38.673,0.522,50,156.32
2025-10-03 08:38:38.723,0.571,50,179.40
2025-10-03 08:38:38.773,0.621,50,219.93
2025-10-03 08:38:38.823,0.672,50,238.81
2025-10-03 08:38:38.873,0.722,50,261.12
2025-10-03 08:38:38.923,0.771,50,270.04
2025-10-03 08:38:38.972,0.821,50,281.46
2025-10-03 08:38:39.022,0.871,50,291.39
2025-10-03 08:38:39.072,0.921,50,291.86
2025-10-03 08:38:39.123,0.971,50,285.07
2025-10-03 08:38:39.173,1.021,50,281.78
2025-10-03 08:38:39.222,1.071,50,285.31
2025-10-03 08:38:39.273,1.122,50,287.43
2025-10-03 08:38:39.323,1.172,50,291.22
2025-10-03 08:38:39.373,1.221,50,298.69
2025-10-03 08:38:39.423,1.272,50,302.39
2025-10-03 08:38:39.472,1.321,50,298.40
2025-10-03 08:38:39.523,1.371,50,293.38
2025-10-03 08:38:39.573,1.421,50,277.50
2025-10-03 08:38:39.623,1.472,50,281.99
2025-10-03 08:38:39.673,1.522,50,286.05
2025-10-03 08:38:39.722,1.571,50,283.25
2025-10-03 08:38:39.773,1.621,50,283.59
2025-10-03 08:38:39.823,1.672,50,285.05
2025-10-03 08:38:39.873,1.721,50,286.14
2025-10-03 08:38:39.923,1.771,50,280.87
2025-10-03 08:38:39.973,1.822,50,285.79
2025-10-03 08:38:40.022,1.871,50,282.94
2025-10-03 08:38:40.073,1.921,50,282.57
2025-10-03 08:38:40.123,1.971,50,283.89
2025-10-03 08:38:40.172,2.021,50,279.22
2025-10-03 08:38:40.222,2.071,50,279.72
2025-10-03 08:38:40.273,2.121,50,277.00
2025-10-03 08:38:40.323,2.171,50,283.07
2025-10-03 08:38:40.373,2.222,50,281.49
2025-10-03 08:38:40.422,2.271,50,274.51
2025-10-03 08:38:40.473,2.322,50,285.02
2025-10-03 08:38:40.522,2.371,50,286.79
2025-10-03 08:38:40.573,2.421,50,286.69
2025-10-03 08:38:40.623,2.472,50,286.23
2025-10-03 08:38:40.673,2.522,50,292.44
2025-10-03 08:38:40.723,2.572,50,309.76
2025-10-03 08:38:40.772,2.621,50,302.51
2025-10-03 08:38:40.823,2.671,50,291.74
2025-10-03 08:38:40.872,2.721,50,285.69
2025-10-03 08:38:40.922,2.771,50,277.11
2025-10-03 08:38:40.972,2.821,50,307.03
2025-10-03 08:38:41.023,2.872,50,309.32
2025-10-03 08:38:41.073,2.921,50,303.14
2025-10-03 08:38:41.123,2.972,50,300.25
2025-10-03 08:38:41.173,3.021,50,300.36
2025-10-03 08:38:41.222,3.071,50,289.24
2025-10-03 08:38:41.273,3.122,50,287.80
2025-10-03 08:38:41.323,3.171,50,291.10
2025-10-03 08:38:41.373,3.222,50,295.50
2025-10-03 08:38:41.422,3.271,50,289.57
2025-10-03 08:38:41.473,3.322,50,287.81
2025-10-03 08:38:41.523,3.371,50,285.09
2025-10-03 08:38:41.572,3.421,50,289.90
2025-10-03 08:38:41.622,3.471,50,281.68
2025-10-03 08:38:41.673,3.521,50,258.55
2025-10-03 08:38:41.723,3.572,50,222.86
2025-10-03 08:38:41.773,3.622,50,183.96
2025-10-03 08:38:41.822,3.671,50,152.33
2025-10-03 08:38:41.873,3.722,50,117.49
2025-10-03 08:38:41.922,3.771,50,78.51
2025-10-03 08:38:41.973,3.821,50,54.75
2025-10-03 08:38:42.023,3.871,50,46.53
2025-10-03 08:38:42.072,3.921,50,39.55
2025-10-03 08:38:42.123,3.971,50,28.58
2025-10-03 08:38:42.173,4.022,50,24.29
2025-10-03 08:38:42.223,4.072,50,20.65
2025-10-03 08:38:42.273,4.121,50,14.92
2025-10-03 08:38:42.323,4.172,50,12.68
2025-10-03 08:38:42.372,4.221,50,10.78
2025-10-03 08:38:42.423,4.271,50,7.79
2025-10-03 08:38:42.473,4.321,50,7.79
2025-10-03 08:38:42.523,4.371,50,7.79
2025-10-03 08:38:42.572,4.421,50,6.62
2025-10-03 08:38:42.623,4.471,50,6.62
2025-10-03 08:38:42.673,4.522,50,6.62
2025-10-03 08:38:42.724,4.572,50,0.00
2025-10-03 08:38:42.772,4.621,50,0.00
2025-10-03 08:38:42.823,4.672,50,0.00
2025-10-03 08:38:42.872,4.721,50,0.00
2025-10-03 08:38:42.923,4.772,50,0.00
2025-10-03 08:38:42.973,4.822,50,0.00
2025-10-03 08:38:43.022,4.871,50,0.00
2025-10-03 08:38:43.072,4.921,50,0.00
2025-10-03 08:38:43.123,4.972,50,0.00
2025-10-03 08:38:43.172,5.021,50,0.00
2025-10-03 08:38:43.223,5.071,50,0.00
