Timestamp,Elapsed_Time_s,Target_Percent,Actual_RPM
2025-10-03 08:53:24.376,0.059,60,0.00
2025-10-03 08:53:24.425,0.108,60,0.00
2025-10-03 08:53:24.473,0.157,60,0.00
2025-10-03 08:53:24.524,0.207,60,0.00
2025-10-03 08:53:24.574,0.257,60,0.00
2025-10-03 08:53:24.624,0.307,60,0.00
2025-10-03 08:53:24.675,0.358,60,0.00
2025-10-03 08:53:24.725,0.408,60,6.00
2025-10-03 08:53:24.775,0.458,60,86.89
2025-10-03 08:53:24.825,0.508,60,170.05
2025-10-03 08:53:24.875,0.559,60,211.47
2025-10-03 08:53:24.925,0.608,60,257.67
2025-10-03 08:53:24.974,0.657,60,303.68
2025-10-03 08:53:25.025,0.708,60,322.33
2025-10-03 08:53:25.074,0.757,60,353.32
2025-10-03 08:53:25.124,0.807,60,361.00
2025-10-03 08:53:25.174,0.858,60,366.50
2025-10-03 08:53:25.224,0.907,60,395.01
2025-10-03 08:53:25.274,0.957,60,384.15
2025-10-03 08:53:25.325,1.009,60,366.03
2025-10-03 08:53:25.373,1.057,60,403.41
2025-10-03 08:53:25.424,1.107,60,387.47
2025-10-03 08:53:25.475,1.158,60,368.61
2025-10-03 08:53:25.524,1.207,60,408.13
2025-10-03 08:53:25.574,1.257,60,385.62
2025-10-03 08:53:25.625,1.309,60,385.41
2025-10-03 08:53:25.674,1.357,60,392.96
2025-10-03 08:53:25.725,1.408,60,394.85
2025-10-03 08:53:25.774,1.458,60,369.66
2025-10-03 08:53:25.824,1.508,60,398.87
2025-10-03 08:53:25.874,1.557,60,389.20
2025-10-03 08:53:25.924,1.607,60,399.86
2025-10-03 08:53:25.974,1.658,60,396.21
2025-10-03 08:53:26.024,1.708,60,386.31
2025-10-03 08:53:26.074,1.757,60,391.69
2025-10-03 08:53:26.125,1.808,60,393.48
2025-10-03 08:53:26.174,1.858,60,388.13
2025-10-03 08:53:26.224,1.907,60,393.25
2025-10-03 08:53:26.276,1.959,60,389.80
2025-10-03 08:53:26.324,2.007,60,390.54
2025-10-03 08:53:26.374,2.057,60,388.28
2025-10-03 08:53:26.424,2.107,60,370.94
2025-10-03 08:53:26.475,2.158,60,402.46
2025-10-03 08:53:26.525,2.209,60,382.92
2025-10-03 08:53:26.574,2.258,60,369.06
2025-10-03 08:53:26.624,2.308,60,397.36
2025-10-03 08:53:26.675,2.358,60,375.13
2025-10-03 08:53:26.724,2.408,60,378.45
2025-10-03 08:53:26.773,2.457,60,390.04
2025-10-03 08:53:26.824,2.507,60,367.95
2025-10-03 08:53:26.874,2.557,60,339.25
2025-10-03 08:53:26.924,2.607,60,332.49
2025-10-03 08:53:26.974,2.657,60,285.23
2025-10-03 08:53:27.024,2.707,60,223.85
2025-10-03 08:53:27.075,2.758,60,180.98
2025-10-03 08:53:27.124,2.807,60,122.98
2025-10-03 08:53:27.175,2.858,60,95.99
2025-10-03 08:53:27.224,2.907,60,74.86
2025-10-03 08:53:27.275,2.958,60,62.24
2025-10-03 08:53:27.324,3.007,60,52.54
2025-10-03 08:53:27.374,3.057,60,34.87
2025-10-03 08:53:27.424,3.108,60,29.64
2025-10-03 08:53:27.474,3.158,60,25.19
2025-10-03 08:53:27.524,3.207,60,21.41
2025-10-03 08:53:27.575,3.258,60,15.47
2025-10-03 08:53:27.624,3.307,60,13.15
2025-10-03 08:53:27.675,3.359,60,13.15
2025-10-03 08:53:27.724,3.407,60,11.18
2025-10-03 08:53:27.774,3.457,60,11.18
2025-10-03 08:53:27.824,3.508,60,11.18
2025-10-03 08:53:27.874,3.557,60,9.50
2025-10-03 08:53:27.925,3.608,60,0.00
2025-10-03 08:53:27.975,3.658,60,0.00
2025-10-03 08:53:28.025,3.708,60,0.00
2025-10-03 08:53:28.075,3.758,60,0.00
2025-10-03 08:53:28.124,3.807,60,0.00
2025-10-03 08:53:28.174,3.857,60,0.00
2025-10-03 08:53:28.224,3.907,60,0.00
2025-10-03 08:53:28.275,3.958,60,0.00
2025-10-03 08:53:28.324,4.007,60,0.00
2025-10-03 08:53:28.375,4.058,60,0.00
2025-10-03 08:53:28.425,4.108,60,0.00
