Timestamp,Elapsed_Time_s,Target_Percent,Actual_RPM
2025-10-03 08:20:32.711,0.059,60,0.00
2025-10-03 08:20:32.760,0.108,60,0.00
2025-10-03 08:20:32.812,0.160,60,0.00
2025-10-03 08:20:32.864,0.212,60,0.00
2025-10-03 08:20:32.916,0.264,60,0.00
2025-10-03 08:20:32.969,0.317,60,0.00
2025-10-03 08:20:33.021,0.369,60,0.00
2025-10-03 08:20:33.073,0.421,60,6.00
2025-10-03 08:20:33.125,0.473,60,82.88
2025-10-03 08:20:33.174,0.522,60,143.88
2025-10-03 08:20:33.224,0.572,60,200.65
2025-10-03 08:20:33.274,0.622,60,241.40
2025-10-03 08:20:33.324,0.673,60,285.56
2025-10-03 08:20:33.375,0.723,60,313.29
2025-10-03 08:20:33.424,0.772,60,340.93
2025-10-03 08:20:33.476,0.824,60,362.06
2025-10-03 08:20:33.524,0.872,60,377.19
2025-10-03 08:20:33.574,0.922,60,370.87
2025-10-03 08:20:33.624,0.973,60,385.14
2025-10-03 08:20:33.674,1.022,60,382.76
2025-10-03 08:20:33.724,1.072,60,379.18
2025-10-03 08:20:33.774,1.122,60,392.79
2025-10-03 08:20:33.824,1.172,60,377.62
2025-10-03 08:20:33.875,1.223,60,379.79
2025-10-03 08:20:33.924,1.272,60,376.91
2025-10-03 08:20:33.974,1.323,60,378.77
2025-10-03 08:20:34.024,1.372,60,379.32
2025-10-03 08:20:34.075,1.423,60,382.15
2025-10-03 08:20:34.125,1.473,60,401.52
2025-10-03 08:20:34.175,1.523,60,384.05
2025-10-03 08:20:34.225,1.573,60,403.03
2025-10-03 08:20:34.274,1.622,60,400.11
2025-10-03 08:20:34.324,1.673,60,397.54
2025-10-03 08:20:34.374,1.722,60,393.76
2025-10-03 08:20:34.424,1.772,60,390.07
2025-10-03 08:20:34.474,1.823,60,399.77
2025-10-03 08:20:34.526,1.875,60,389.89
2025-10-03 08:20:34.574,1.922,60,387.33
2025-10-03 08:20:34.624,1.972,60,393.60
2025-10-03 08:20:34.675,2.023,60,377.37
2025-10-03 08:20:34.724,2.073,60,387.38
2025-10-03 08:20:34.774,2.122,60,388.51
2025-10-03 08:20:34.824,2.172,60,373.17
2025-10-03 08:20:34.874,2.222,60,389.11
2025-10-03 08:20:34.924,2.272,60,396.80
2025-10-03 08:20:34.973,2.322,60,384.15
2025-10-03 08:20:35.024,2.372,60,389.23
2025-10-03 08:20:35.075,2.423,60,376.80
2025-10-03 08:20:35.125,2.474,60,383.90
2025-10-03 08:20:35.173,2.521,60,379.46
2025-10-03 08:20:35.224,2.572,60,375.66
2025-10-03 08:20:35.275,2.623,60,369.64
2025-10-03 08:20:35.324,2.673,60,386.77
2025-10-03 08:20:35.374,2.722,60,380.64
2025-10-03 08:20:35.424,2.772,60,370.64
2025-10-03 08:20:35.474,2.823,60,390.20
2025-10-03 08:20:35.524,2.872,60,387.75
2025-10-03 08:20:35.574,2.922,60,376.33
2025-10-03 08:20:35.624,2.972,60,388.83
2025-10-03 08:20:35.675,3.023,60,386.16
2025-10-03 08:20:35.724,3.072,60,391.67
2025-10-03 08:20:35.775,3.123,60,377.55
2025-10-03 08:20:35.824,3.172,60,389.14
2025-10-03 08:20:35.874,3.222,60,396.91
2025-10-03 08:20:35.924,3.273,60,385.60
2025-10-03 08:20:35.974,3.322,60,388.05
2025-10-03 08:20:36.024,3.373,60,393.33
2025-10-03 08:20:36.074,3.423,60,387.56
2025-10-03 08:20:36.124,3.472,60,399.95
2025-10-03 08:20:36.174,3.522,60,400.11
2025-10-03 08:20:36.224,3.572,60,381.91
2025-10-03 08:20:36.274,3.622,60,391.77
2025-10-03 08:20:36.324,3.673,60,398.41
2025-10-03 08:20:36.376,3.724,60,389.37
2025-10-03 08:20:36.425,3.773,60,389.29
2025-10-03 08:20:36.475,3.823,60,370.02
2025-10-03 08:20:36.524,3.872,60,374.05
2025-10-03 08:20:36.574,3.922,60,396.18
2025-10-03 08:20:36.624,3.972,60,398.12
2025-10-03 08:20:36.675,4.023,60,391.22
2025-10-03 08:20:36.724,4.072,60,390.12
2025-10-03 08:20:36.774,4.122,60,379.03
2025-10-03 08:20:36.824,4.173,60,388.02
2025-10-03 08:20:36.876,4.224,60,389.75
2025-10-03 08:20:36.924,4.272,60,376.00
2025-10-03 08:20:36.974,4.322,60,390.80
2025-10-03 08:20:37.024,4.372,60,380.59
2025-10-03 08:20:37.075,4.423,60,373.92
2025-10-03 08:20:37.125,4.473,60,389.91
2025-10-03 08:20:37.174,4.523,60,373.50
2025-10-03 08:20:37.223,4.572,60,394.81
2025-10-03 08:20:37.274,4.623,60,386.02
2025-10-03 08:20:37.325,4.673,60,371.52
2025-10-03 08:20:37.374,4.722,60,391.61
2025-10-03 08:20:37.424,4.772,60,387.77
2025-10-03 08:20:37.474,4.822,60,372.72
2025-10-03 08:20:37.525,4.873,60,391.74
2025-10-03 08:20:37.574,4.922,60,390.81
2025-10-03 08:20:37.624,4.973,60,360.70
2025-10-03 08:20:37.674,5.022,60,345.69
2025-10-03 08:20:37.724,5.073,60,344.78
2025-10-03 08:20:37.775,5.123,60,313.75
2025-10-03 08:20:37.824,5.173,60,274.65
2025-10-03 08:20:37.875,5.223,60,226.17
2025-10-03 08:20:37.925,5.273,60,159.96
2025-10-03 08:20:37.975,5.323,60,128.87
2025-10-03 08:20:38.025,5.373,60,82.99
2025-10-03 08:20:38.074,5.423,60,53.16
2025-10-03 08:20:38.126,5.474,60,45.18
2025-10-03 08:20:38.175,5.523,60,38.41
2025-10-03 08:20:38.224,5.573,60,27.75
2025-10-03 08:20:38.274,5.623,60,23.59
2025-10-03 08:20:38.324,5.672,60,23.59
2025-10-03 08:20:38.374,5.722,60,17.04
2025-10-03 08:20:38.425,5.773,60,14.49
2025-10-03 08:20:38.475,5.823,60,12.31
2025-10-03 08:20:38.525,5.873,60,10.47
2025-10-03 08:20:38.575,5.923,60,10.47
2025-10-03 08:20:38.625,5.973,60,10.47
2025-10-03 08:20:38.674,6.022,60,8.90
2025-10-03 08:20:38.725,6.073,60,8.90
2025-10-03 08:20:38.774,6.122,60,0.00
2025-10-03 08:20:38.824,6.172,60,0.00
2025-10-03 08:20:38.874,6.222,60,0.00
2025-10-03 08:20:38.924,6.272,60,0.00
2025-10-03 08:20:38.974,6.323,60,0.00
2025-10-03 08:20:39.024,6.372,60,0.00
2025-10-03 08:20:39.075,6.423,60,0.00
2025-10-03 08:20:39.125,6.473,60,0.00
2025-10-03 08:20:39.174,6.522,60,0.00
2025-10-03 08:20:39.224,6.572,60,0.00
2025-10-03 08:20:39.274,6.622,60,0.00
