Timestamp,Elapsed_Time_s,Target_Percent,Actual_RPM
2025-10-02 14:02:53.422,0.058,70,0.00
2025-10-02 14:02:53.474,0.110,70,0.00
2025-10-02 14:02:53.522,0.158,70,0.00
2025-10-02 14:02:53.572,0.208,70,0.00
2025-10-02 14:02:53.623,0.259,70,0.00
2025-10-02 14:02:53.672,0.308,70,6.00
2025-10-02 14:02:53.722,0.358,70,5.10
2025-10-02 14:02:53.773,0.409,70,14.43
2025-10-02 14:02:53.823,0.459,70,85.13
2025-10-02 14:02:53.873,0.509,70,160.51
2025-10-02 14:02:53.922,0.558,70,225.95
2025-10-02 14:02:53.973,0.609,70,283.62
2025-10-02 14:02:54.023,0.659,70,355.29
2025-10-02 14:02:54.073,0.708,70,384.88
2025-10-02 14:02:54.123,0.759,70,398.13
2025-10-02 14:02:54.173,0.809,70,417.11
2025-10-02 14:02:54.223,0.859,70,435.43
2025-10-02 14:02:54.273,0.908,70,455.90
2025-10-02 14:02:54.323,0.959,70,444.13
2025-10-02 14:02:54.373,1.009,70,471.29
2025-10-02 14:02:54.423,1.059,70,469.42
2025-10-02 14:02:54.472,1.108,70,462.74
2025-10-02 14:02:54.523,1.159,70,445.44
2025-10-02 14:02:54.572,1.208,70,463.42
2025-10-02 14:02:54.622,1.258,70,461.43
2025-10-02 14:02:54.672,1.308,70,441.08
2025-10-02 14:02:54.723,1.359,70,445.95
2025-10-02 14:02:54.772,1.408,70,473.74
2025-10-02 14:02:54.824,1.460,70,449.91
2025-10-02 14:02:54.872,1.508,70,443.60
2025-10-02 14:02:54.923,1.559,70,463.20
2025-10-02 14:02:54.972,1.608,70,456.65
2025-10-02 14:02:55.023,1.659,70,467.78
2025-10-02 14:02:55.073,1.708,70,465.81
2025-10-02 14:02:55.123,1.759,70,450.41
2025-10-02 14:02:55.174,1.809,70,474.58
2025-10-02 14:02:55.223,1.859,70,464.35
2025-10-02 14:02:55.272,1.908,70,437.85
2025-10-02 14:02:55.323,1.959,70,450.06
2025-10-02 14:02:55.372,2.008,70,466.43
2025-10-02 14:02:55.423,2.059,70,458.87
2025-10-02 14:02:55.473,2.109,70,441.88
2025-10-02 14:02:55.523,2.159,70,469.81
2025-10-02 14:02:55.573,2.208,70,460.84
2025-10-02 14:02:55.623,2.259,70,452.05
2025-10-02 14:02:55.673,2.308,70,461.15
2025-10-02 14:02:55.722,2.358,70,466.17
2025-10-02 14:02:55.772,2.408,70,444.82
2025-10-02 14:02:55.822,2.458,70,463.47
2025-10-02 14:02:55.873,2.509,70,453.63
2025-10-02 14:02:55.923,2.559,70,456.23
2025-10-02 14:02:55.972,2.608,70,468.82
2025-10-02 14:02:56.023,2.659,70,447.56
2025-10-02 14:02:56.073,2.709,70,462.85
2025-10-02 14:02:56.123,2.759,70,456.63
2025-10-02 14:02:56.173,2.809,70,462.73
2025-10-02 14:02:56.223,2.859,70,467.95
2025-10-02 14:02:56.272,2.908,70,465.34
2025-10-02 14:02:56.323,2.959,70,459.38
2025-10-02 14:02:56.373,3.009,70,460.09
2025-10-02 14:02:56.423,3.058,70,463.67
2025-10-02 14:02:56.472,3.108,70,469.92
2025-10-02 14:02:56.523,3.159,70,460.89
2025-10-02 14:02:56.573,3.209,70,447.47
2025-10-02 14:02:56.623,3.259,70,475.07
2025-10-02 14:02:56.673,3.309,70,462.41
2025-10-02 14:02:56.722,3.358,70,438.54
2025-10-02 14:02:56.773,3.409,70,471.68
2025-10-02 14:02:56.822,3.458,70,452.01
2025-10-02 14:02:56.873,3.509,70,481.19
2025-10-02 14:02:56.923,3.559,70,468.73
2025-10-02 14:02:56.973,3.609,70,469.01
2025-10-02 14:02:57.023,3.659,70,460.86
2025-10-02 14:02:57.072,3.708,70,436.68
2025-10-02 14:02:57.122,3.758,70,451.53
2025-10-02 14:02:57.172,3.808,70,475.46
2025-10-02 14:02:57.223,3.859,70,447.02
2025-10-02 14:02:57.273,3.908,70,460.16
2025-10-02 14:02:57.323,3.958,70,465.84
2025-10-02 14:02:57.373,4.009,70,444.85
2025-10-02 14:02:57.423,4.059,70,460.66
2025-10-02 14:02:57.472,4.108,70,452.47
2025-10-02 14:02:57.522,4.158,70,460.69
2025-10-02 14:02:57.573,4.209,70,472.90
2025-10-02 14:02:57.623,4.259,70,459.70
2025-10-02 14:02:57.673,4.309,70,463.14
2025-10-02 14:02:57.722,4.358,70,467.88
2025-10-02 14:02:57.772,4.408,70,460.90
2025-10-02 14:02:57.823,4.459,70,473.61
2025-10-02 14:02:57.873,4.509,70,466.27
2025-10-02 14:02:57.923,4.559,70,450.56
2025-10-02 14:02:57.974,4.609,70,461.03
2025-10-02 14:02:58.022,4.658,70,473.38
2025-10-02 14:02:58.073,4.709,70,473.36
2025-10-02 14:02:58.123,4.759,70,455.82
2025-10-02 14:02:58.173,4.809,70,439.62
2025-10-02 14:02:58.223,4.859,70,463.83
2025-10-02 14:02:58.273,4.909,70,474.40
2025-10-02 14:02:58.323,4.959,70,451.70
2025-10-02 14:02:58.373,5.009,70,467.21
2025-10-02 14:02:58.422,5.058,70,455.39
2025-10-02 14:02:58.474,5.109,70,478.22
2025-10-02 14:02:58.524,5.160,70,459.52
2025-10-02 14:02:58.577,5.213,70,474.57
2025-10-02 14:02:58.625,5.261,70,457.77
2025-10-02 14:02:58.674,5.310,70,449.90
2025-10-02 14:02:58.724,5.360,70,464.60
2025-10-02 14:02:58.775,5.411,70,462.86
2025-10-02 14:02:58.824,5.460,70,441.94
2025-10-02 14:02:58.874,5.510,70,445.51
2025-10-02 14:02:58.924,5.560,70,464.04
2025-10-02 14:02:58.974,5.610,70,448.00
2025-10-02 14:02:59.024,5.660,70,440.30
2025-10-02 14:02:59.074,5.710,70,476.49
2025-10-02 14:02:59.123,5.759,70,457.89
2025-10-02 14:02:59.175,5.811,70,470.62
2025-10-02 14:02:59.225,5.861,70,465.79
2025-10-02 14:02:59.275,5.911,70,466.54
2025-10-02 14:02:59.324,5.959,70,460.72
2025-10-02 14:02:59.373,6.009,70,438.30
2025-10-02 14:02:59.424,6.060,70,407.16
2025-10-02 14:02:59.473,6.109,70,369.68
2025-10-02 14:02:59.524,6.160,70,307.36
2025-10-02 14:02:59.574,6.210,70,250.98
2025-10-02 14:02:59.624,6.260,70,209.80
2025-10-02 14:02:59.674,6.310,70,168.41
2025-10-02 14:02:59.724,6.360,70,150.16
2025-10-02 14:02:59.774,6.410,70,100.11
2025-10-02 14:02:59.824,6.460,70,72.66
2025-10-02 14:02:59.875,6.511,70,54.88
2025-10-02 14:02:59.924,6.560,70,46.65
2025-10-02 14:02:59.974,6.610,70,39.65
2025-10-02 14:03:00.025,6.661,70,28.65
2025-10-02 14:03:00.074,6.710,70,24.35
2025-10-02 14:03:00.124,6.759,70,20.70
2025-10-02 14:03:00.174,6.810,70,14.95
2025-10-02 14:03:00.224,6.860,70,14.95
2025-10-02 14:03:00.275,6.910,70,14.95
2025-10-02 14:03:00.324,6.960,70,12.71
2025-10-02 14:03:00.374,7.010,70,12.71
2025-10-02 14:03:00.424,7.060,70,12.71
2025-10-02 14:03:00.475,7.111,70,0.00
2025-10-02 14:03:00.526,7.161,70,0.00
2025-10-02 14:03:00.574,7.210,70,0.00
2025-10-02 14:03:00.624,7.260,70,0.00
2025-10-02 14:03:00.674,7.310,70,0.00
2025-10-02 14:03:00.724,7.360,70,0.00
2025-10-02 14:03:00.774,7.410,70,0.00
2025-10-02 14:03:00.824,7.460,70,0.00
2025-10-02 14:03:00.875,7.511,70,0.00
2025-10-02 14:03:00.925,7.561,70,0.00
2025-10-02 14:03:00.975,7.611,70,0.00
