Timestamp,Elapsed_Time_s,Target_Percent,Actual_RPM
2025-10-03 08:45:44.085,0.055,60,0.00
2025-10-03 08:45:44.130,0.101,60,0.00
2025-10-03 08:45:44.178,0.148,60,0.00
2025-10-03 08:45:44.225,0.196,60,0.00
2025-10-03 08:45:44.274,0.245,60,0.00
2025-10-03 08:45:44.325,0.295,60,0.00
2025-10-03 08:45:44.375,0.346,60,0.00
2025-10-03 08:45:44.425,0.395,60,22.75
2025-10-03 08:45:44.474,0.445,60,115.21
2025-10-03 08:45:44.524,0.495,60,168.18
2025-10-03 08:45:44.575,0.545,60,217.63
2025-10-03 08:45:44.626,0.596,60,282.39
2025-10-03 08:45:44.674,0.644,60,319.95
2025-10-03 08:45:44.725,0.695,60,327.49
2025-10-03 08:45:44.775,0.745,60,364.88
2025-10-03 08:45:44.824,0.795,60,367.88
2025-10-03 08:45:44.874,0.844,60,363.17
2025-10-03 08:45:44.925,0.896,60,388.21
2025-10-03 08:45:44.974,0.944,60,387.54
2025-10-03 08:45:45.024,0.995,60,370.48
2025-10-03 08:45:45.074,1.045,60,389.27
2025-10-03 08:45:45.124,1.094,60,381.56
2025-10-03 08:45:45.176,1.146,60,369.26
2025-10-03 08:45:45.224,1.194,60,383.78
2025-10-03 08:45:45.275,1.245,60,385.12
2025-10-03 08:45:45.325,1.296,60,369.19
2025-10-03 08:45:45.374,1.344,60,386.32
2025-10-03 08:45:45.424,1.394,60,386.17
2025-10-03 08:45:45.475,1.445,60,377.89
2025-10-03 08:45:45.526,1.496,60,397.55
2025-10-03 08:45:45.574,1.545,60,390.70
2025-10-03 08:45:45.625,1.596,60,402.84
2025-10-03 08:45:45.674,1.645,60,387.32
2025-10-03 08:45:45.725,1.695,60,405.45
2025-10-03 08:45:45.775,1.746,60,400.76
2025-10-03 08:45:45.824,1.794,60,381.29
2025-10-03 08:45:45.876,1.846,60,397.23
2025-10-03 08:45:45.925,1.895,60,390.50
2025-10-03 08:45:45.974,1.944,60,379.71
2025-10-03 08:45:46.024,1.994,60,406.07
2025-10-03 08:45:46.073,2.044,60,388.34
2025-10-03 08:45:46.124,2.094,60,367.23
2025-10-03 08:45:46.175,2.145,60,330.94
2025-10-03 08:45:46.224,2.195,60,285.72
2025-10-03 08:45:46.275,2.245,60,213.32
2025-10-03 08:45:46.324,2.294,60,160.68
2025-10-03 08:45:46.374,2.344,60,109.44
2025-10-03 08:45:46.423,2.394,60,81.39
2025-10-03 08:45:46.475,2.445,60,69.42
2025-10-03 08:45:46.526,2.496,60,59.01
2025-10-03 08:45:46.574,2.544,60,50.16
2025-10-03 08:45:46.623,2.594,60,36.24
2025-10-03 08:45:46.674,2.645,60,30.80
2025-10-03 08:45:46.725,2.695,60,26.18
2025-10-03 08:45:46.775,2.745,60,18.92
2025-10-03 08:45:46.825,2.795,60,16.08
2025-10-03 08:45:46.875,2.846,60,16.08
2025-10-03 08:45:46.924,2.895,60,13.67
2025-10-03 08:45:46.974,2.945,60,13.67
2025-10-03 08:45:47.026,2.997,60,13.67
2025-10-03 08:45:47.074,3.045,60,11.62
2025-10-03 08:45:47.124,3.095,60,0.00
2025-10-03 08:45:47.177,3.148,60,0.00
2025-10-03 08:45:47.224,3.194,60,0.00
2025-10-03 08:45:47.274,3.244,60,0.00
2025-10-03 08:45:47.323,3.294,60,0.00
2025-10-03 08:45:47.375,3.345,60,0.00
2025-10-03 08:45:47.424,3.395,60,0.00
2025-10-03 08:45:47.474,3.445,60,0.00
2025-10-03 08:45:47.525,3.495,60,0.00
2025-10-03 08:45:47.575,3.546,60,0.00
2025-10-03 08:45:47.625,3.596,60,0.00
