Timestamp,Elapsed_Time_s,Target_Percent,Actual_RPM
2025-10-02 13:39:02.069,0.059,25,0.00
2025-10-02 13:39:02.117,0.108,25,0.00
2025-10-02 13:39:02.169,0.160,25,0.00
2025-10-02 13:39:02.222,0.212,25,0.00
2025-10-02 13:39:02.275,0.265,25,0.00
2025-10-02 13:39:02.323,0.313,25,0.00
2025-10-02 13:39:02.374,0.364,25,0.00
2025-10-02 13:39:02.424,0.414,25,6.00
2025-10-02 13:39:02.475,0.465,25,33.26
2025-10-02 13:39:02.524,0.515,25,54.59
2025-10-02 13:39:02.573,0.563,25,68.39
2025-10-02 13:39:02.623,0.613,25,82.99
2025-10-02 13:39:02.673,0.663,25,91.54
2025-10-02 13:39:02.723,0.714,25,93.48
2025-10-02 13:39:02.773,0.763,25,95.88
2025-10-02 13:39:02.823,0.813,25,98.96
2025-10-02 13:39:02.876,0.866,25,97.47
2025-10-02 13:39:02.924,0.914,25,99.75
2025-10-02 13:39:02.973,0.963,25,98.24
2025-10-02 13:39:03.024,1.014,25,96.83
2025-10-02 13:39:03.073,1.064,25,99.64
2025-10-02 13:39:03.124,1.114,25,95.87
2025-10-02 13:39:03.173,1.163,25,96.87
2025-10-02 13:39:03.223,1.213,25,99.93
2025-10-02 13:39:03.273,1.264,25,95.95
2025-10-02 13:39:03.323,1.314,25,96.81
2025-10-02 13:39:03.373,1.363,25,99.68
2025-10-02 13:39:03.422,1.413,25,95.74
2025-10-02 13:39:03.472,1.463,25,96.58
2025-10-02 13:39:03.524,1.515,25,99.67
2025-10-02 13:39:03.573,1.563,25,95.93
2025-10-02 13:39:03.622,1.613,25,96.62
2025-10-02 13:39:03.673,1.663,25,99.60
2025-10-02 13:39:03.722,1.712,25,95.47
2025-10-02 13:39:03.773,1.763,25,96.17
2025-10-02 13:39:03.823,1.813,25,99.49
2025-10-02 13:39:03.873,1.864,25,96.09
2025-10-02 13:39:03.923,1.913,25,102.79
2025-10-02 13:39:03.973,1.963,25,99.55
2025-10-02 13:39:04.023,2.013,25,96.26
2025-10-02 13:39:04.073,2.063,25,96.05
2025-10-02 13:39:04.123,2.113,25,98.01
2025-10-02 13:39:04.173,2.163,25,96.09
2025-10-02 13:39:04.223,2.213,25,96.15
2025-10-02 13:39:04.273,2.263,25,98.54
2025-10-02 13:39:04.323,2.313,25,95.96
2025-10-02 13:39:04.373,2.363,25,96.39
2025-10-02 13:39:04.423,2.413,25,99.00
2025-10-02 13:39:04.473,2.463,25,96.75
2025-10-02 13:39:04.523,2.513,25,96.87
2025-10-02 13:39:04.572,2.562,25,98.98
2025-10-02 13:39:04.623,2.613,25,96.09
2025-10-02 13:39:04.673,2.663,25,95.91
2025-10-02 13:39:04.722,2.713,25,98.28
2025-10-02 13:39:04.773,2.763,25,95.72
2025-10-02 13:39:04.822,2.813,25,95.62
2025-10-02 13:39:04.873,2.863,25,97.95
2025-10-02 13:39:04.923,2.914,25,95.87
2025-10-02 13:39:04.973,2.963,25,96.52
2025-10-02 13:39:05.023,3.013,25,99.11
2025-10-02 13:39:05.073,3.063,25,96.77
2025-10-02 13:39:05.123,3.114,25,97.01
2025-10-02 13:39:05.174,3.164,25,99.14
2025-10-02 13:39:05.223,3.213,25,96.65
2025-10-02 13:39:05.274,3.264,25,96.54
2025-10-02 13:39:05.323,3.314,25,98.53
2025-10-02 13:39:05.374,3.364,25,96.07
2025-10-02 13:39:05.424,3.414,25,96.19
2025-10-02 13:39:05.473,3.463,25,98.29
2025-10-02 13:39:05.525,3.515,25,95.25
2025-10-02 13:39:05.575,3.566,25,95.95
2025-10-02 13:39:05.622,3.613,25,100.63
2025-10-02 13:39:05.676,3.666,25,96.89
2025-10-02 13:39:05.724,3.714,25,97.31
2025-10-02 13:39:05.773,3.763,25,100.21
2025-10-02 13:39:05.822,3.813,25,97.23
2025-10-02 13:39:05.874,3.864,25,99.17
2025-10-02 13:39:05.923,3.913,25,99.66
2025-10-02 13:39:05.974,3.964,25,96.37
2025-10-02 13:39:06.022,4.013,25,98.63
2025-10-02 13:39:06.075,4.065,25,94.66
2025-10-02 13:39:06.124,4.114,25,94.90
2025-10-02 13:39:06.174,4.164,25,97.80
2025-10-02 13:39:06.223,4.214,25,99.11
2025-10-02 13:39:06.273,4.263,25,96.64
2025-10-02 13:39:06.324,4.314,25,99.33
2025-10-02 13:39:06.379,4.370,25,95.86
2025-10-02 13:39:06.423,4.413,25,96.48
2025-10-02 13:39:06.473,4.463,25,99.30
2025-10-02 13:39:06.523,4.514,25,97.09
2025-10-02 13:39:06.574,4.564,25,96.25
2025-10-02 13:39:06.625,4.616,25,98.81
2025-10-02 13:39:06.680,4.671,25,95.67
2025-10-02 13:39:06.726,4.717,25,95.44
2025-10-02 13:39:06.773,4.764,25,97.82
2025-10-02 13:39:06.823,4.814,25,95.00
2025-10-02 13:39:06.873,4.863,25,95.98
2025-10-02 13:39:06.923,4.914,25,98.89
2025-10-02 13:39:06.974,4.964,25,96.36
2025-10-02 13:39:07.024,5.015,25,91.65
2025-10-02 13:39:07.074,5.064,25,85.01
2025-10-02 13:39:07.123,5.113,25,74.31
2025-10-02 13:39:07.174,5.164,25,63.96
2025-10-02 13:39:07.223,5.214,25,56.76
2025-10-02 13:39:07.274,5.264,25,52.46
2025-10-02 13:39:07.324,5.314,25,41.78
2025-10-02 13:39:07.375,5.365,25,40.41
2025-10-02 13:39:07.423,5.413,25,31.76
2025-10-02 13:39:07.473,5.463,25,20.67
2025-10-02 13:39:07.523,5.513,25,21.50
2025-10-02 13:39:07.574,5.564,25,18.28
2025-10-02 13:39:07.623,5.613,25,13.20
2025-10-02 13:39:07.673,5.664,25,11.22
2025-10-02 13:39:07.723,5.714,25,9.54
2025-10-02 13:39:07.773,5.763,25,6.89
2025-10-02 13:39:07.823,5.814,25,5.86
2025-10-02 13:39:07.873,5.863,25,5.86
2025-10-02 13:39:07.924,5.914,25,4.98
2025-10-02 13:39:07.973,5.963,25,4.98
2025-10-02 13:39:08.023,6.013,25,4.98
2025-10-02 13:39:08.072,6.062,25,4.23
2025-10-02 13:39:08.122,6.113,25,0.00
2025-10-02 13:39:08.173,6.163,25,0.00
2025-10-02 13:39:08.223,6.213,25,0.00
2025-10-02 13:39:08.273,6.263,25,0.00
2025-10-02 13:39:08.323,6.313,25,0.00
2025-10-02 13:39:08.373,6.363,25,0.00
2025-10-02 13:39:08.423,6.413,25,0.00
2025-10-02 13:39:08.472,6.463,25,0.00
2025-10-02 13:39:08.522,6.512,25,0.00
2025-10-02 13:39:08.572,6.562,25,0.00
2025-10-02 13:39:08.623,6.613,25,0.00
